Month,Year,State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
4,2018,Tamil Nadu,33,Kattupalli Port/ Tiruvallur,China,J7,Books & Printing,None,0,268,17559
5,2024,Andhra Pradesh,28,Ap Industrial Infra Ltd Ph,Germany,N7,ATM & Molding Machinery,Kgs,9,10672,890075
3,2019,Haryana,6,Icd Faridabad,China,O9,Computer Hardware,None,0,5140,357108
3,2022,Gujarat,24,Ahmedabad Air Cargo Complex,Turkey,N6,Dairy Machinery,None,0,33974,2590324
4,2018,Tamil Nadu,33,Sez Nokia Chennai,China,N6,Dairy Machinery,None,0,3385,222174
10,2021,West Bengal,19,Jaigaon,Bhutan,K9,Plastic Sheets & Films,Kgs,10994,11740,879471
6,2021,Gujarat,24,Mundra,Poland,K9,Plastic Sheets & Films,Kgs,96600,37863,2785109
5,2020,Tamil Nadu,33,Tuticorin Sea,China,P8,Cotton Textiles,None,0,667272,50485741
8,2020,Madhya Pradesh,23,Icd  Pithampur  (Indore),China,N1,"Ac, Refrigeration Machnry Etc",None,0,24845,1855244
6,2018,Maharashtra,27,Nhava Sheva Sea,Indonesia,N6,Dairy Machinery,None,0,997953,67654333
12,2020,Delhi,7,Delhi (Icd),Singapore,I9,Othr Rubber Prodct Excpt Footw,None,0,279182,20546004
4,2021,Maharashtra,27,Biotech Services Haveli Pune,U S A,N6,Dairy Machinery,None,0,1081374,80532313
11,2018,Maharashtra,27,Nhava Sheva Sea,Turkey,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,444417,31933212
12,2019,Tamil Nadu,33,Chennai Sea,Malaysia,M2,Oth Non Ferous Metal And Prodc,None,0,9506,676735
4,2023,Delhi,7,Delhi (Icd),Germany,P9,"Oth Txtl Yrn, Fbric Mdup Artcl",None,0,117932,9672824
9,2019,Tamil Nadu,33,Chennai Sea,Sri Lanka,N1,"Ac, Refrigeration Machnry Etc",None,0,88653,6323928
5,2022,Tamil Nadu,33,Elcot Limited (Hosur),Malaysia,O9,Computer Hardware,None,0,6278,485415
4,2019,Gujarat,24,Mundra,Brazil,N6,Dairy Machinery,None,0,367002,25480000
9,2020,Delhi,7,Delhi (Icd),France,L4,Products Of Iron And Steel,None,0,8647,635413
5,2022,Maharashtra,27,"Arshiya Intl. Ftwz-Sez, Raigad",Singapore,I7,Residul Chemicl And Alled Prod,None,0,71868,5556791
1,2024,West Bengal,19,Kolkata Air,Italy,K4,Optical Items (Incl.Lens Etc),None,0,377299,31361517
4,2021,Karnataka,29,Icd Bangalore,Japan,L6,Copper And Prdcts Made Of Copr,None,0,653701,48682569
8,2022,Maharashtra,27,Nhava Sheva Sea,Malaysia,N8,"Nucler Reactr, Indl Boilr, Prt",None,0,59591,4740739
11,2023,Karnataka,29,Icd Bangalore,Netherland,N6,Dairy Machinery,None,0,886237,73821739
7,2024,Maharashtra,27,Dpcc Mumbai,Singapore,G5,"Pearl, Precs, Semiprecs Stones",None,0,289300,24183973
1,2024,Karnataka,29,"Kiadb Aerospace Sez,Bangalore",France,N6,Dairy Machinery,None,0,890,73951
3,2020,Maharashtra,27,Mumbai Air,Korea,H8,"Drug Formulations, Biologicals",Kgs,2741,1031163,76667690
3,2018,Maharashtra,27,Mumbai Air,Unspecified,N7,ATM & Molding Machinery,None,0,12343,802547
10,2018,Tamil Nadu,33,Chennai Sea,Taiwan,L6,Copper And Prdcts Made Of Copr,None,0,726692,53507975
9,2022,Gujarat,24,Epz/Sez Surat,U K,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,13437,1078052
8,2020,Delhi,7,Delhi Air,Japan,J7,Books & Printing,None,0,40694,3038665
1,2024,Tamil Nadu,33,Chennai Air,Malaysia,O9,Computer Hardware,None,0,13570520,1127995318
1,2023,Telangana,36,Icd Hyderabad,Singapore,I7,Residul Chemicl And Alled Prod,None,0,8803,720945
