Month (month),State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
01-04-18,Tamil Nadu,33,Kattupalli Port/ Tiruvallur,China P Rp,J7,"Books, Publications And Prntng",None,0,268,17559
01-09-19,Tamil Nadu,33,Chennai Sea,France,L3,Iron And Steel,Ton,651,797099,56860022
01-05-24,Andhra Pradesh,28,Ap Industrial Infra Ltd Ph,Germany,N7,"Atm, Injctng Mlding Mchnry Etc",Kgs,9,10672,890075
01-06-21,Maharashtra,27,Serum Bio Pharm Park  Sez Pune,Switzerland,M8,Medical And Scientific Instrum,None,0,229108,16852802
01-07-20,Tamil Nadu,33,Tuticorin Sea,Sudan,K2,Other Wood And Wood Products,None,0,14955,1121491
01-09-23,Tamil Nadu,33,Sipct Hitechcity Sriperumbudur,Thailand,P3,Electronics Instruments,None,0,39959,3318517
01-04-21,Tamil Nadu,33,Mahindra City It Sez Tamil Ndu,Korea Rp,P4,Telecom Instruments,None,0,6931,516161
01-11-23,Tamil Nadu,33,Flextronics Techn Sez  Sriperu,China P Rp,L2,Other Plastic Items,None,0,371337,30931652
01-03-19,Haryana,6,Icd Faridabad,China P Rp,O9,"Computer Hardware, Peripherals",None,0,5140,357108
01-03-22,Gujarat,24,Ahmedabad Air Cargo Complex,Turkey,N6,Indl. Machnry For Dairy Etc,None,0,33974,2590324
01-05-19,Delhi,7,Cfs Patparganj,U S A,S1,Handcrfs(Excl.Handmade Crpts),None,0,5362,374138
01-06-22,Telangana,36,Hyderabad Airport,Singapore,I3,Organic Chemicals,Kgs,1,552,43076
01-09-22,Maharashtra,27,Nhava Sheva Sea,Germany,L3,Iron And Steel,Ton,2380,7102233,569823492
01-04-18,Tamil Nadu,33,Sez Nokia Chennai,China P Rp,N6,Indl. Machnry For Dairy Etc,None,0,3385,222174
01-05-20,Punjab,3,"Icd Sahnewal, Grfl",Korea Rp,P6,Manmade Staple Fibre,Kgs,66840,78908,5970194
01-11-20,Maharashtra,27,Nhava Sheva Sea,Japan,O3,Pumps Of All Types,None,0,792299,58804240
01-04-24,Tamil Nadu,33,Chennai Sea,Romania,M4,Electrodes,Kgs,121,2589,215925
01-10-21,West Bengal,19,Jaigaon,Bhutan,K9,"Plastc Sht, Film, Plts Etc",Kgs,10994,11740,879471
01-01-20,West Bengal,19,Kolkata Sea,Vietnam Soc Rep,B1,Spices,Kgs,93100,274684,19588781
01-06-21,Gujarat,24,Mundra,Poland,K9,"Plastc Sht, Film, Plts Etc",Kgs,96600,37863,2785109
01-03-21,Andhra Pradesh,28,Sri City Pvt Ltd,U S A,L3,Iron And Steel,Ton,0,15655,1139567
01-08-22,Haryana,6,Icd Sonipat,Thailand,J9,"Paper, Paper Board And Product",None,0,225215,17916947
01-03-19,Maharashtra,27,Icd Tumb,Canada,L3,Iron And Steel,Ton,20,21842,1517582
01-08-22,Tamil Nadu,33,Chennai Air,Luxembourg,S6,Petroleum Products,Ton,0,5,404
01-05-24,Maharashtra,27,Mumbai Air,Luxembourg,M8,Medical And Scientific Instrum,None,0,2217,184871
01-05-21,Tamil Nadu,33,Chennai Sea,Malaysia,O3,Pumps Of All Types,None,0,162795,11927627
01-01-19,Uttar Pradesh,9,Cfs Albatross/Icd Dadri,U S A,K1,Plywood And Allied Products,None,0,157321,11127802
01-05-20,Tamil Nadu,33,Tuticorin Sea,China P Rp,P8,"Cotton Fabrics, Madeups Etc.",None,0,667272,50485741
01-08-20,Madhya Pradesh,23,Icd  Pithampur  (Indore),China P Rp,N1,"Ac, Refrigeration Machnry Etc",None,0,24845,1855244
01-06-18,Maharashtra,27,Nhava Sheva Sea,Indonesia,N6,Indl. Machnry For Dairy Etc,None,0,997953,67654333
01-05-24,Punjab,3,Icd Ludhiana,Switzerland,J9,"Paper, Paper Board And Product",None,0,59196,4936907
01-12-20,Delhi,7,Delhi (Icd),Singapore,I9,Othr Rubber Prodct Excpt Footw,None,0,279182,20546004
01-04-21,Maharashtra,27,Biotech Services Haveli Pune,U S A,N6,Indl. Machnry For Dairy Etc,None,0,1081374,80532313
01-11-18,Maharashtra,27,Nhava Sheva Sea,Turkey,Q3,"Manmade Yarn,Fabrics,Madeups",None,0,444417,31933212
01-01-21,Tamil Nadu,33,Suzlon Ap Infra Sez Coimbatore,France,N5,Ic Engines And Parts,None,0,6261,457739
01-12-19,Delhi,7,Cfs Patparganj,Japan,J9,"Paper, Paper Board And Product",None,0,54027,3846350
01-12-21,Uttar Pradesh,9,Icd Modinagar,U K,J9,"Paper, Paper Board And Product",None,0,309613,23336293
01-04-21,West Bengal,19,Kolkata Sea,Indonesia,M8,Medical And Scientific Instrum,None,0,42136,3137957
01-05-22,Gujarat,24,Ahmedabad Air Cargo Complex,Japan,K7,Packaging Materials,Ton,0,4140,320134
01-12-19,Tamil Nadu,33,Chennai Sea,Malaysia,M2,Oth Non Ferous Metal And Prodc,None,0,9506,676735
01-04-23,Delhi,7,Delhi (Icd),Germany,P9,"Oth Txtl Yrn, Fbric Mdup Artcl",None,0,117932,9672824
01-09-19,Tamil Nadu,33,Chennai Sea,Sri Lanka Dsr,N1,"Ac, Refrigeration Machnry Etc",None,0,88653,6323928
01-06-23,Maharashtra,27,Telegaon,U K,K7,Packaging Materials,Ton,0,189,15502
01-05-22,Tamil Nadu,33,Elcot Limited (Hosur),Malaysia,O9,"Computer Hardware, Peripherals",None,0,6278,485415
01-04-19,Gujarat,24,Mundra,Brazil,N6,Indl. Machnry For Dairy Etc,None,0,367002,25480000
01-11-22,Maharashtra,27,Mumbai Air,Spain,P1,Consumer Electronics,None,0,49612,4058757
01-06-21,Tamil Nadu,33,Chennai Sea,Belgium,E6,Alcoholic Beverages,Ltr,50,2217,163086
01-05-22,Tamil Nadu,33,Ennore Sea,Japan,M3,Auto Components/Parts,None,0,195627,15125768
01-09-20,Delhi,7,Delhi (Icd),France,L4,Products Of Iron And Steel,None,0,8647,635413
01-07-21,Maharashtra,27,Nhava Sheva Sea,Libya,J9,"Paper, Paper Board And Product",None,0,7052,525548
01-12-23,West Bengal,19,"Icd Durgapur, Wb",Singapore,L3,Iron And Steel,Ton,26,1224744,101995094
